,Exch,ExchType,Scripcode,Name,Series,Expiry,CpType,StrikeRate,WireCat,ISIN,FullName,LotSize,AllowedToTrade,QtyLimit,Multiplier,Underlyer,Root,TickSize
105434,N,D,48885,BANKNIFTY 02 Jun 2022 CE 36100.00,XX,2022-06-02 14:30:00,CE,36100.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 36100.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
105438,N,D,48889,BANKNIFTY 02 Jun 2022 CE 36200.00,XX,2022-06-02 14:30:00,CE,36200.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 36200.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
105441,N,D,48892,BANKNIFTY 02 Jun 2022 CE 36300.00,XX,2022-06-02 14:30:00,CE,36300.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 36300.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
105448,N,D,48899,BANKNIFTY 02 Jun 2022 CE 36400.00,XX,2022-06-02 14:30:00,CE,36400.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 36400.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
105450,N,D,48901,BANKNIFTY 02 Jun 2022 CE 36500.00,XX,2022-06-02 14:30:00,CE,36500.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 36500.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
105458,N,D,48909,BANKNIFTY 02 Jun 2022 CE 36600.00,XX,2022-06-02 14:30:00,CE,36600.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 36600.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
105464,N,D,48915,BANKNIFTY 02 Jun 2022 CE 36700.00,XX,2022-06-02 14:30:00,CE,36700.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 36700.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
105470,N,D,48921,BANKNIFTY 02 Jun 2022 CE 36800.00,XX,2022-06-02 14:30:00,CE,36800.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 36800.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
105472,N,D,48923,BANKNIFTY 02 Jun 2022 CE 36900.00,XX,2022-06-02 14:30:00,CE,36900.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 36900.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
105474,N,D,48925,BANKNIFTY 02 Jun 2022 CE 37000.00,XX,2022-06-02 14:30:00,CE,37000.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 37000.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
105477,N,D,48928,BANKNIFTY 02 Jun 2022 CE 37100.00,XX,2022-06-02 14:30:00,CE,37100.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 37100.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
105484,N,D,48935,BANKNIFTY 02 Jun 2022 CE 37200.00,XX,2022-06-02 14:30:00,CE,37200.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 37200.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
105486,N,D,48937,BANKNIFTY 02 Jun 2022 CE 37300.00,XX,2022-06-02 14:30:00,CE,37300.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 37300.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
105492,N,D,48943,BANKNIFTY 02 Jun 2022 CE 37400.00,XX,2022-06-02 14:30:00,CE,37400.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 37400.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
105510,N,D,48961,BANKNIFTY 02 Jun 2022 CE 37500.00,XX,2022-06-02 14:30:00,CE,37500.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 37500.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
105512,N,D,48963,BANKNIFTY 02 Jun 2022 CE 37600.00,XX,2022-06-02 14:30:00,CE,37600.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 37600.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
105514,N,D,48965,BANKNIFTY 02 Jun 2022 CE 37700.00,XX,2022-06-02 14:30:00,CE,37700.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 37700.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
105520,N,D,48971,BANKNIFTY 02 Jun 2022 CE 37800.00,XX,2022-06-02 14:30:00,CE,37800.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 37800.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
