,Exch,ExchType,Scripcode,Name,Series,Expiry,CpType,StrikeRate,WireCat,ISIN,FullName,LotSize,AllowedToTrade,QtyLimit,Multiplier,Underlyer,Root,TickSize
63199,N,D,49337,BANKNIFTY 03 Nov 2022 PE 39800.00,XX,2022-11-03 14:30:00,PE,39800.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 39800.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
120319,N,D,49404,BANKNIFTY 03 Nov 2022 PE 40300.00,XX,2022-11-03 14:30:00,PE,40300.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 40300.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
120333,N,D,49444,BANKNIFTY 03 Nov 2022 PE 40600.00,XX,2022-11-03 14:30:00,PE,40600.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 40600.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
120337,N,D,49448,BANKNIFTY 03 Nov 2022 PE 40700.00,XX,2022-11-03 14:30:00,PE,40700.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 40700.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
120347,N,D,49477,BANKNIFTY 03 Nov 2022 PE 41000.00,XX,2022-11-03 14:30:00,PE,41000.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 41000.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
120374,N,D,49524,BANKNIFTY 03 Nov 2022 PE 41200.00,XX,2022-11-03 14:30:00,PE,41200.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 41200.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
120378,N,D,49528,BANKNIFTY 03 Nov 2022 PE 41300.00,XX,2022-11-03 14:30:00,PE,41300.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 41300.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
120380,N,D,49530,BANKNIFTY 03 Nov 2022 PE 41400.00,XX,2022-11-03 14:30:00,PE,41400.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 41400.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
120382,N,D,49532,BANKNIFTY 03 Nov 2022 PE 41500.00,XX,2022-11-03 14:30:00,PE,41500.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 41500.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
120384,N,D,49534,BANKNIFTY 03 Nov 2022 PE 41600.00,XX,2022-11-03 14:30:00,PE,41600.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 41600.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
120386,N,D,49536,BANKNIFTY 03 Nov 2022 PE 41700.00,XX,2022-11-03 14:30:00,PE,41700.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 41700.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
120388,N,D,49538,BANKNIFTY 03 Nov 2022 PE 41800.00,XX,2022-11-03 14:30:00,PE,41800.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 41800.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
120390,N,D,49642,BANKNIFTY 03 Nov 2022 PE 43300.00,XX,2022-11-03 14:30:00,PE,43300.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 43300.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
120396,N,D,49648,BANKNIFTY 03 Nov 2022 PE 43400.00,XX,2022-11-03 14:30:00,PE,43400.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 43400.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
120399,N,D,49651,BANKNIFTY 03 Nov 2022 PE 43500.00,XX,2022-11-03 14:30:00,PE,43500.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 43500.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
120409,N,D,49675,BANKNIFTY 03 Nov 2022 PE 43900.00,XX,2022-11-03 14:30:00,PE,43900.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 43900.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
120416,N,D,49699,BANKNIFTY 03 Nov 2022 PE 44400.00,XX,2022-11-03 14:30:00,PE,44400.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 44400.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
120418,N,D,49701,BANKNIFTY 03 Nov 2022 PE 44500.00,XX,2022-11-03 14:30:00,PE,44500.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 44500.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
120420,N,D,49703,BANKNIFTY 03 Nov 2022 PE 44600.00,XX,2022-11-03 14:30:00,PE,44600.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 44600.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
120422,N,D,49705,BANKNIFTY 03 Nov 2022 PE 45000.00,XX,2022-11-03 14:30:00,PE,45000.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 45000.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
183018,N,D,49369,BANKNIFTY 03 Nov 2022 PE 39900.00,XX,2022-11-03 14:30:00,PE,39900.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 39900.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
183039,N,D,49393,BANKNIFTY 03 Nov 2022 PE 40200.00,XX,2022-11-03 14:30:00,PE,40200.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 40200.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
183064,N,D,49442,BANKNIFTY 03 Nov 2022 PE 40500.00,XX,2022-11-03 14:30:00,PE,40500.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 40500.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
183072,N,D,49424,BANKNIFTY 03 Nov 2022 PE 40400.00,XX,2022-11-03 14:30:00,PE,40400.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 40400.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
183076,N,D,49458,BANKNIFTY 03 Nov 2022 PE 40800.00,XX,2022-11-03 14:30:00,PE,40800.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 40800.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
183083,N,D,49465,BANKNIFTY 03 Nov 2022 PE 40900.00,XX,2022-11-03 14:30:00,PE,40900.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 40900.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
183107,N,D,49516,BANKNIFTY 03 Nov 2022 PE 41100.00,XX,2022-11-03 14:30:00,PE,41100.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 41100.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
183117,N,D,49550,BANKNIFTY 03 Nov 2022 PE 42100.00,XX,2022-11-03 14:30:00,PE,42100.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 42100.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
183119,N,D,49552,BANKNIFTY 03 Nov 2022 PE 42200.00,XX,2022-11-03 14:30:00,PE,42200.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 42200.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
183121,N,D,49554,BANKNIFTY 03 Nov 2022 PE 42300.00,XX,2022-11-03 14:30:00,PE,42300.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 42300.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
183125,N,D,49571,BANKNIFTY 03 Nov 2022 PE 42500.00,XX,2022-11-03 14:30:00,PE,42500.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 42500.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
